latency_ms
2.589697ms
5.353651ms
1.290805ms
3.300953ms
8.080684ms
2.970608ms
292.907µs
384.787µs
410.524µs
460.144µs
1.895939ms
1.14618ms
1.172633ms
1.123975ms
1.815331ms
1.796682ms
36.798504ms
35.861106ms
46.541922ms
87.279493ms
50.144766ms
98.860844ms
49.211915ms
93.293527ms
95.371357ms
95.036386ms
97.654368ms
48.743515ms
87.078353ms
71.027931ms
169.664109ms
121.271683ms
160.24931ms
160.310974ms
169.885178ms
167.852322ms
170.418957ms
160.135644ms
169.469107ms
158.732254ms
158.696011ms
121.328079ms
159.020799ms
121.949569ms
159.242096ms
72.064065ms
72.038569ms
159.444803ms
159.422955ms
72.014015ms
161.160775ms
123.476036ms
1.284105ms
1.461629ms
72.152445ms
76.775612ms
76.799092ms
76.819081ms
76.837858ms
78.216362ms
76.929906ms
126.938788ms
128.274276ms
127.388071ms
79.119224ms
8.860669ms
77.537125ms
6.36123ms
6.283662ms
6.466682ms
8.440655ms
8.516358ms
11.428953ms
129.402212ms
8.76979ms
79.703494ms
11.104961ms
1.607881ms
129.88131ms
1.762774ms
997.738µs
6.588789ms
5.894769ms
131.328319ms
80.122154ms
373.426µs
177.179507ms
577.294µs
523.924µs
356.784µs
501.499µs
337.382µs
175.937234ms
179.304276ms
869.026µs
793.568µs
938.646µs
1.018249ms
1.118079ms
1.096824ms
954.003µs
566.734µs
761.621µs
915.621µs
945.711µs
705.442µs
698.958µs
1.000812ms
770.932µs
1.136797ms
133.947191ms
3.098244ms
3.419913ms
2.753472ms
84.378196ms
2.98645ms
3.131519ms
13.751894ms
3.635738ms
3.442677ms
4.191038ms
3.963666ms
84.966822ms
3.948003ms
4.154533ms
3.936811ms
3.76071ms
3.274364ms
84.775068ms
134.812754ms
3.405251ms
3.293501ms
84.90838ms
949.545µs
1.851254ms
2.388776ms
2.389978ms
3.934671ms
3.917921ms
225.022µs
5.00678ms
56.532µs
8.0779ms
138.711985ms
181.648µs
140.98552ms
187.626µs
7.717831ms
18.97661ms
7.78586ms
7.462566ms
4.487353ms
20.82811ms
7.313266ms
20.435422ms
7.373216ms
4.306533ms
18.555333ms
140.025605ms
91.55649ms
89.873481ms
7.251677ms
4.647054ms
7.409752ms
7.479835ms
7.393038ms
589.717µs
7.562883ms
7.58267ms
9.559436ms
4.262587ms
3.70615ms
19.411177ms
9.816868ms
8.035583ms
387.759µs
90.34899ms
623.355µs
585.898µs
674.879µs
90.399749ms
19.160831ms
22.644851ms
90.036005ms
4.568836ms
90.420292ms
383.443µs
501.455µs
90.591577ms
90.598158ms
90.811876ms
9.143296ms
19.99983ms
9.325037ms
19.143347ms
9.571981ms
10.672985ms
6.740487ms
6.87407ms
23.168992ms
20.361963ms
23.372218ms
20.916491ms
4.097218ms
2.321498ms
2.304173ms
2.291648ms
8.013515ms
8.058867ms
8.126123ms
2.016706ms
2.213146ms
2.207192ms
2.205138ms
2.915954ms
2.796292ms
3.053849ms
2.648127ms
8.657754ms
3.347471ms
3.212518ms
3.205126ms
2.54258ms
3.25243ms
2.910046ms
30.666183ms
35.772058ms
29.56475ms
29.987983ms
49.163684ms
30.291522ms
210.474444ms
1.748045ms
1.807408ms
2.207307ms
2.481178ms
2.884347ms
52.17453ms
123.403326ms
125.051978ms
31.919ms
123.77511ms
32.303539ms
38.997055ms
33.071444ms
32.802869ms
32.117344ms
33.445581ms
123.529367ms
124.153801ms
32.882076ms
34.427265ms
3.46269ms
32.391465ms
2.932675ms
202.502121ms
109.714913ms
55.403826ms
211.85086ms
3.9931ms
